Well Row,Well Col,Content,Raw Data (parallel),Raw Data (perpendicular),Polarization,Anisotropy,Intensity,concentration
A,1,titration.1,16351,9120,283.9,209,34591,1e3
A,2,titration.1,14840,8203,288,212.4,31246,600
A,3,titration.1,14696,8300,278.1,204.4,31296,360
A,4,titration.1,14170,8064,274.6,201.5,30298,216
A,5,titration.1,13411,7721,269.3,197.2,28853,129.6
A,6,titration.1,13136,7741,258.4,188.5,28618,77.76
A,7,titration.1,12542,7567,247.4,179.8,27676,46.656
A,8,titration.1,12678,8086,221.2,159.2,28850,27.9936
A,9,titration.1,13304,9000,193,137.5,31304,16.79616
A,10,titration.1,12824,9314,158.6,111.6,31452,10.077696
A,11,titration.1,12706,9999,119.2,82.8,32704,6.0466176
A,12,titration.1,13112,10608,105.6,72.9,34328,3.62797056
A,13,titration.1,13178,11052,87.7,60.3,35282,2.176782336
A,14,titration.1,13072,11196,77.3,52.9,35464,1.306069402
A,15,titration.1,13407,11574,73.4,50.1,36555,0.783641641
A,16,titration.1,13364,11591,71,48.5,36546,0.470184985
A,17,titration.1,13430,11718,68.1,46.4,36866,0.282110991
A,18,titration.1,13234,11447,72.4,49.5,36128,0.169266594
A,19,titration.1,13424,11663,70.2,47.9,36750,0.101559957
A,20,titration.1,13298,11563,69.8,47.6,36424,0.060935974
A,21,titration.1,12893,11371,62.7,42.7,35635,0.036561584
A,22,titration.1,13778,12037,67.4,46,37852,0.021936951
A,23,baseline.1,12947,11461,60.9,41.4,35869,0
A,24,baseline.1,12850,11303,64.1,43.6,35456,0
B,1,titration.2,16027,8967,282.5,207.9,33961,1e3
B,2,titration.2,14482,8138,280.5,206.3,30758,600
B,3,titration.2,13980,7888,278.6,204.7,29756,360
B,4,titration.2,13159,7620,266.6,195,28399,216
B,5,titration.2,13000,7507,267.9,196.1,28014,129.6
B,6,titration.2,12530,7421,256.1,186.7,27372,77.76
B,7,titration.2,12293,7514,241.3,174.9,27321,46.656
B,8,titration.2,11693,7584,213.2,153,26861,27.9936
B,9,titration.2,12626,8429,199.3,142.3,29484,16.79616
B,10,titration.2,12474,8944,164.8,116.3,30362,10.077696
B,11,titration.2,14573,10958,141.6,99.1,36489,6.0466176
B,12,titration.2,11997,9795,101,69.7,31587,3.62797056
B,13,titration.2,12634,10376,98.1,67.6,33386,2.176782336
B,14,titration.2,12782,10882,80.3,55,34546,1.306069402
B,15,titration.2,13218,11414,73.2,50,36046,0.783641641
B,16,titration.2,12638,10912,73.3,50.1,34462,0.470184985
B,17,titration.2,13454,11793,65.8,44.8,37040,0.282110991
B,18,titration.2,13371,11586,71.5,48.8,36543,0.169266594
B,19,titration.2,12829,11230,66.5,45.3,35289,0.101559957
B,20,titration.2,12788,11229,64.9,44.2,35246,0.060935974
B,21,titration.2,13226,11523,68.8,47,36272,0.036561584
B,22,titration.2,13385,11760,64.6,44,36905,0.021936951
B,23,baseline.2,13064,11480,64.5,44,36024,0
B,24,baseline.2,12984,11270,70.7,48.2,35524,0
