Experiment,Type,Replicate,Observation,Well Row,Well Col,Content,fret_channel,donor_channel,acceptor_channel,concentration
data_001,blank,1,1,K,1,blank_1,49973,1524,233268,1e3
data_001,blank,1,2,K,2,blank_1,25305,1236,119382,500
data_001,blank,1,3,K,3,blank_1,12781,977,57591,250
data_001,blank,1,4,K,4,blank_1,6188,906,27695,125
data_001,blank,1,5,K,5,blank_1,3652,890,15248,62.5
data_001,blank,1,6,K,6,blank_1,2171,898,8278,31.25
data_001,blank,1,7,K,7,blank_1,1088,1135,4085,15.625
data_001,blank,1,8,K,8,blank_1,608,873,2260,7.8125
data_001,blank,1,9,K,9,blank_1,556,940,1275,3.90625
data_001,blank,1,10,K,10,blank_1,419,822,396,1.953125
data_001,blank,1,11,K,11,blank_1,250,946,306,0.9765625
data_001,blank,1,12,K,12,blank_1,243,800,196,0.48828125
data_001,blank,1,13,K,13,blank_1,214,1101,127,0.244140625
data_001,blank,1,14,K,14,blank_1,301,971,87,0.122070313
data_001,blank,1,15,K,15,blank_1,166,826,80,0.061035156
data_001,blank,1,16,K,16,blank_1,207,961,59,0.030517578
data_001,blank,1,17,K,17,blank_1,197,921,56,0.015258789
data_001,blank,1,18,K,18,blank_1,228,823,64,0.007629395
data_001,blank,1,19,K,19,blank_1,291,836,62,0.003814697
data_001,blank,1,20,K,20,blank_1,203,901,66,0.001907349
data_001,blank,1,21,K,21,blank_1,187,796,44,0
data_001,blank,1,22,K,22,blank_1,106,863,39,0
data_001,blank,1,23,K,23,blank_1,164,827,37,0
data_001,blank,1,24,K,24,blank_1,217,931,41,0
data_001,blank,2,1,L,1,blank_2,50370,1381,236021,1e3
data_001,blank,2,2,L,2,blank_2,22501,1130,105392,500
data_001,blank,2,3,L,3,blank_2,13549,920,59539,250
data_001,blank,2,4,L,4,blank_2,7104,868,33934,125
data_001,blank,2,5,L,5,blank_2,4004,1031,17809,62.5
data_001,blank,2,6,L,6,blank_2,2471,853,9896,31.25
data_001,blank,2,7,L,7,blank_2,1189,851,5028,15.625
data_001,blank,2,8,L,8,blank_2,662,800,2446,7.8125
data_001,blank,2,9,L,9,blank_2,475,882,1546,3.90625
data_001,blank,2,10,L,10,blank_2,272,934,774,1.953125
data_001,blank,2,11,L,11,blank_2,273,770,460,0.9765625
data_001,blank,2,12,L,12,blank_2,211,882,262,0.48828125
data_001,blank,2,13,L,13,blank_2,278,852,183,0.244140625
data_001,blank,2,14,L,14,blank_2,221,873,98,0.122070313
data_001,blank,2,15,L,15,blank_2,180,796,81,0.061035156
data_001,blank,2,16,L,16,blank_2,148,765,91,0.030517578
data_001,blank,2,17,L,17,blank_2,206,852,57,0.015258789
data_001,blank,2,18,L,18,blank_2,176,780,53,0.007629395
data_001,blank,2,19,L,19,blank_2,211,644,50,0.003814697
data_001,blank,2,20,L,20,blank_2,181,925,44,0.001907349
data_001,blank,2,21,L,21,blank_2,84,810,37,0
data_001,blank,2,22,L,22,blank_2,146,800,43,0
data_001,blank,2,23,L,23,blank_2,234,732,42,0
data_001,blank,2,24,L,24,blank_2,128,791,34,0
data_001,titration,1,1,M,1,titration_1,54940,174303,225066,1e3
data_001,titration,1,2,M,2,titration_1,28376,167788,105112,500
data_001,titration,1,3,M,3,titration_1,18146,172231,61448,250
data_001,titration,1,4,M,4,titration_1,10891,167409,31650,125
data_001,titration,1,5,M,5,titration_1,7198,225186,16980,62.5
data_001,titration,1,6,M,6,titration_1,4581,178663,11210,31.25
data_001,titration,1,7,M,7,titration_1,2944,174556,5544,15.625
